n_size,option,measurement_unit,mean
100000,Altair Line Plot,seconds,0.012206729035824537
100000,MatPlotlib Line Plot,seconds,0.012961083557456732
100000,Plotly Line Plot,seconds,0.007676624692976475
100000,Pygal Line Plot,seconds,0.003026239573955536
12000,Altair Line Plot,seconds,0.007746976800262928
12000,MatPlotlib Line Plot,seconds,0.008764042984694242
12000,Plotly Line Plot,seconds,0.0033834222704172134
12000,Pygal Line Plot,seconds,0.0008859829977154732
20000,Altair Line Plot,seconds,0.008616453036665916
20000,MatPlotlib Line Plot,seconds,0.009615915827453136
20000,Plotly Line Plot,seconds,0.004307481925934553
20000,Pygal Line Plot,seconds,0.0013177101500332355
300000,Altair Line Plot,seconds,0.012231428176164627
300000,MatPlotlib Line Plot,seconds,0.013369495049118996
300000,Plotly Line Plot,seconds,0.007678474765270948
300000,Pygal Line Plot,seconds,0.0029814867302775383
6000,Altair Line Plot,seconds,0.0070014349184930325
6000,MatPlotlib Line Plot,seconds,0.008042294066399336
6000,Plotly Line Plot,seconds,0.002759828232228756
6000,Pygal Line Plot,seconds,0.0005532987415790558
70000,Altair Line Plot,seconds,0.01209053210914135
70000,MatPlotlib Line Plot,seconds,0.013139459304511547
70000,Plotly Line Plot,seconds,0.007725479081273079
70000,Pygal Line Plot,seconds,0.0030173957347869873
