n_size,option,measurement_unit,mean
100000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.01710802665911615
100000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.017120289678374926
100000,TS Downsample - LTTBDownsampler,seconds,0.009869037164996068
100000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.00990161499939859
12000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.007924587807307641
12000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.002998063402871291
12000,TS Downsample - LTTBDownsampler,seconds,0.0011763059223691623
12000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.001204127042243878
20000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.00880918730981648
20000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.004894263561194142
20000,TS Downsample - LTTBDownsampler,seconds,0.001973363772655527
20000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.0020191307800511518
300000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.04210520659883817
300000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.04418088352928559
300000,TS Downsample - LTTBDownsampler,seconds,0.03647278960173329
300000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.0359854349711289
6000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.007295805091659228
6000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.0015783560772736867
6000,TS Downsample - LTTBDownsampler,seconds,0.0006010626442730427
6000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.0006173218910892805
70000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.014052534941583872
70000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.014034027125065525
70000,TS Downsample - LTTBDownsampler,seconds,0.006951875487963359
70000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.006925687845796347
