n_size,option,measurement_unit,mean
100000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.017617029960577686
100000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.010839068051427602
100000,TS Downsample - LTTBDownsampler,seconds,0.010169145263110599
100000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.01003324631601572
12000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.007725727294261257
12000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.0013127945053080718
12000,TS Downsample - LTTBDownsampler,seconds,0.0011911596326778333
12000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.0011420662825306256
20000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.008636474407588442
20000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.002177082234993577
20000,TS Downsample - LTTBDownsampler,seconds,0.0020084272138774393
20000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.0019354394792268673
300000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.045116061174000306
300000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.03738779906804363
300000,TS Downsample - LTTBDownsampler,seconds,0.03669977003398041
300000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.035238057685395084
6000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.007146382952729861
6000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.0007443583259979883
6000,TS Downsample - LTTBDownsampler,seconds,0.0006172680451224248
6000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.0006042103593548139
70000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.014014241099357606
70000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.007412062476699551
70000,TS Downsample - LTTBDownsampler,seconds,0.0070169571787118915
70000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.006793816434219479
