n_size,option,measurement_unit,mean
100000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,1.8315633138020834e-06
100000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,4.325421651204427e-06
100000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,4.156931241353353e-06
12000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,1.8307328552582374e-06
12000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,4.153048039796267e-06
12000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,3.948356166030421e-06
20000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,1.8348345906777959e-06
20000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,4.282618438821922e-06
20000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,3.989161938972537e-06
2000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,1.8486658732096353e-06
2000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,4.333003362019857e-06
2000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,4.164814949035644e-06
300000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,1.8256823221842449e-06
300000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,4.328616460164388e-06
300000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,4.187711079915365e-06
6000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,1.8790119984110848e-06
6000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,4.11291591456679e-06
6000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,3.927196961283032e-06
70000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,1.8155256907145183e-06
70000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,4.280328750610351e-06
70000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,4.1533231735229495e-06
