n_size,option,measurement_unit,mean
100000,Original Data,seconds,9.428166257370582e-08
100000,dac_vector - 0 - LTTBDownsampler,seconds,1.8103837966918946e-06
100000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,2.8649965922037762e-06
100000,dac_vector - 1 - LTTBDownsampler,seconds,3.7395477294921877e-06
100000,dac_vector - 1 - MinMaxLTTBDownsampler,seconds,5.420049031575521e-06
100000,dac_vector - 10 - LTTBDownsampler,seconds,3.8111448287963865e-06
100000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,5.471706390380859e-06
100000,dac_vector - 2 - LTTBDownsampler,seconds,3.7360191345214844e-06
100000,dac_vector - 2 - MinMaxLTTBDownsampler,seconds,5.336602528889974e-06
100000,dac_vector - 5 - LTTBDownsampler,seconds,3.774452209472656e-06
100000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,5.467732747395833e-06
100000,vlc_vector_comma_2 - 0 - LTTBDownsampler,seconds,1.7505407333374023e-06
100000,vlc_vector_comma_2 - 0 - MinMaxLTTBDownsampler,seconds,2.5033950805664062e-06
100000,vlc_vector_comma_2 - 1 - LTTBDownsampler,seconds,3.6489248275756837e-06
100000,vlc_vector_comma_2 - 1 - MinMaxLTTBDownsampler,seconds,4.835923512776693e-06
100000,vlc_vector_comma_2 - 10 - LTTBDownsampler,seconds,3.7418842315673827e-06
100000,vlc_vector_comma_2 - 10 - MinMaxLTTBDownsampler,seconds,5.106131235758464e-06
100000,vlc_vector_comma_2 - 2 - LTTBDownsampler,seconds,3.664398193359375e-06
100000,vlc_vector_comma_2 - 2 - MinMaxLTTBDownsampler,seconds,4.97897466023763e-06
100000,vlc_vector_comma_2 - 5 - LTTBDownsampler,seconds,3.696465492248535e-06
100000,vlc_vector_comma_2 - 5 - MinMaxLTTBDownsampler,seconds,5.022684733072917e-06
100000,vlc_vector_elias_delta - 0 - LTTBDownsampler,seconds,2.372455596923828e-06
100000,vlc_vector_elias_delta - 0 - MinMaxLTTBDownsampler,seconds,2.5510787963867186e-06
100000,vlc_vector_elias_delta - 1 - LTTBDownsampler,seconds,4.264450073242188e-06
100000,vlc_vector_elias_delta - 1 - MinMaxLTTBDownsampler,seconds,4.935264587402344e-06
100000,vlc_vector_elias_delta - 10 - LTTBDownsampler,seconds,4.317831993103027e-06
100000,vlc_vector_elias_delta - 10 - MinMaxLTTBDownsampler,seconds,5.141894022623698e-06
100000,vlc_vector_elias_delta - 2 - LTTBDownsampler,seconds,4.262495040893555e-06
100000,vlc_vector_elias_delta - 2 - MinMaxLTTBDownsampler,seconds,4.998842875162761e-06
100000,vlc_vector_elias_delta - 5 - LTTBDownsampler,seconds,4.316329956054687e-06
100000,vlc_vector_elias_delta - 5 - MinMaxLTTBDownsampler,seconds,5.16970952351888e-06
100000,vlc_vector_elias_gamma - 0 - LTTBDownsampler,seconds,2.077960968017578e-06
100000,vlc_vector_elias_gamma - 0 - MinMaxLTTBDownsampler,seconds,2.5312105814615887e-06
100000,vlc_vector_elias_gamma - 1 - LTTBDownsampler,seconds,3.948068618774414e-06
100000,vlc_vector_elias_gamma - 1 - MinMaxLTTBDownsampler,seconds,5.122025807698568e-06
100000,vlc_vector_elias_gamma - 10 - LTTBDownsampler,seconds,4.026246070861816e-06
100000,vlc_vector_elias_gamma - 10 - MinMaxLTTBDownsampler,seconds,5.133946736653645e-06
100000,vlc_vector_elias_gamma - 2 - LTTBDownsampler,seconds,3.962159156799317e-06
100000,vlc_vector_elias_gamma - 2 - MinMaxLTTBDownsampler,seconds,5.070368448893229e-06
100000,vlc_vector_elias_gamma - 5 - LTTBDownsampler,seconds,4.009222984313965e-06
100000,vlc_vector_elias_gamma - 5 - MinMaxLTTBDownsampler,seconds,5.213419596354167e-06
100000,vlc_vector_fibonacci - 0 - LTTBDownsampler,seconds,1.8850088119506836e-06
100000,vlc_vector_fibonacci - 0 - MinMaxLTTBDownsampler,seconds,2.7219454447428384e-06
100000,vlc_vector_fibonacci - 1 - LTTBDownsampler,seconds,3.784298896789551e-06
100000,vlc_vector_fibonacci - 1 - MinMaxLTTBDownsampler,seconds,5.133946736653645e-06
100000,vlc_vector_fibonacci - 10 - LTTBDownsampler,seconds,3.8479328155517574e-06
100000,vlc_vector_fibonacci - 10 - MinMaxLTTBDownsampler,seconds,5.2889188130696615e-06
100000,vlc_vector_fibonacci - 2 - LTTBDownsampler,seconds,3.8027524948120116e-06
100000,vlc_vector_fibonacci - 2 - MinMaxLTTBDownsampler,seconds,5.217393239339193e-06
100000,vlc_vector_fibonacci - 5 - LTTBDownsampler,seconds,3.8669109344482425e-06
100000,vlc_vector_fibonacci - 5 - MinMaxLTTBDownsampler,seconds,5.1140785217285155e-06
10000,Original Data,seconds,8.136370811763793e-08
10000,dac_vector - 0 - LTTBDownsampler,seconds,1.805901527404785e-06
10000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,2.238154411315918e-06
10000,dac_vector - 1 - LTTBDownsampler,seconds,3.7320852279663084e-06
10000,dac_vector - 1 - MinMaxLTTBDownsampler,seconds,4.76837158203125e-06
