n_size,option,measurement_unit,mean
100000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,0.012129068374633789
100000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,0.01207905610402425
100000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,0.012126771608988444
12000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,0.0013268470764160156
12000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,0.001339252789815267
12000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,0.0013759136199951172
20000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,0.0021877606709798177
20000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,0.00220944086710612
20000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,0.0022115786870320637
2000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,0.004641572634379069
2000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,0.006596755981445312
2000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,0.006541617711385091
300000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,0.04023696581522624
300000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,0.04044449329376221
300000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,0.04039900302886963
6000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,0.0007534901301066081
6000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,0.0007628758748372395
6000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,0.0007614533106486003
70000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,0.007777841885884603
70000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,0.007971382141113282
70000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,0.007722878456115722
