n_size,option,measurement_unit,mean
100000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,9452
100000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,15366
100000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,12718
12000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,2676
12000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,4246
12000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,3582
20000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,4116
20000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,6654
20000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,5558
2000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,9452
2000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,15038
2000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,12374
300000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,9452
300000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,15382
300000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,12718
6000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,1580
6000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,2502
6000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,2134
70000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,9452
70000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,15390
70000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,12726
