n_size,option,measurement_unit,mean
100000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,476
100000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,654
100000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,654
12000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,460
12000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,638
12000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,638
20000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,460
20000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,638
20000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,638
2000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,6860
2000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,8030
2000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,8030
300000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,476
300000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,654
300000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,654
6000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,468
6000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,646
6000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,646
70000,dac_vector - 0 - MinMaxLTTBDownsampler,seconds,460
70000,dac_vector - 10 - MinMaxLTTBDownsampler,seconds,638
70000,dac_vector - 5 - MinMaxLTTBDownsampler,seconds,638
