n_size,option,measurement_unit,mean
100000,Compressed Vector Downsample - dac_vector,bytes,9478
100000,Compressed Vector Downsample - vlc_vector_fibonacci,bytes,8878
100000,Original Data,bytes,1601968
100000,TS Downsample,bytes,16224
12000,Compressed Vector Downsample - dac_vector,bytes,2678
12000,Compressed Vector Downsample - vlc_vector_fibonacci,bytes,2262
12000,Original Data,bytes,215792
12000,TS Downsample,bytes,4064
20000,Compressed Vector Downsample - dac_vector,bytes,4070
20000,Compressed Vector Downsample - vlc_vector_fibonacci,bytes,3646
20000,Original Data,bytes,346032
20000,TS Downsample,bytes,6624
300000,Compressed Vector Downsample - dac_vector,bytes,9542
300000,Compressed Vector Downsample - vlc_vector_fibonacci,bytes,9038
300000,Original Data,bytes,5203120
300000,TS Downsample,bytes,16224
6000,Compressed Vector Downsample - dac_vector,bytes,1662
6000,Compressed Vector Downsample - vlc_vector_fibonacci,bytes,1238
6000,Original Data,bytes,106160
6000,TS Downsample,bytes,2144
70000,Compressed Vector Downsample - dac_vector,bytes,9486
70000,Compressed Vector Downsample - vlc_vector_fibonacci,bytes,8894
70000,Original Data,bytes,1124976
70000,TS Downsample,bytes,16224
