n_size,option,measurement_unit,mean
100000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,bytes,6860
100000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,bytes,476
100000,TS Downsample - LTTBDownsampler,bytes,16224
100000,TS Downsample - MinMaxLTTBDownsampler,bytes,320
12000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,bytes,6860
12000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,bytes,460
12000,TS Downsample - LTTBDownsampler,bytes,16224
12000,TS Downsample - MinMaxLTTBDownsampler,bytes,256
20000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,bytes,6860
20000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,bytes,460
20000,TS Downsample - LTTBDownsampler,bytes,16224
20000,TS Downsample - MinMaxLTTBDownsampler,bytes,256
300000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,bytes,6860
300000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,bytes,476
300000,TS Downsample - LTTBDownsampler,bytes,16224
300000,TS Downsample - MinMaxLTTBDownsampler,bytes,320
6000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,bytes,6860
6000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,bytes,468
6000,TS Downsample - LTTBDownsampler,bytes,16224
6000,TS Downsample - MinMaxLTTBDownsampler,bytes,288
70000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,bytes,6860
70000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,bytes,460
70000,TS Downsample - LTTBDownsampler,bytes,16224
70000,TS Downsample - MinMaxLTTBDownsampler,bytes,256
