n_size,option,measurement_unit,mean
100000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,kilobytes,30.709309895833332
100000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_comma_2,kilobytes,30.718424479166668
100000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,kilobytes,12.5078125
100000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_comma_2,kilobytes,12.5078125
100000,Original Data,kilobytes,782.9736328125
100000,TS Downsample - LTTBDownsampler,kilobytes,33.145182291666664
100000,TS Downsample - MinMaxLTTBDownsampler,kilobytes,12.5078125
12000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,kilobytes,30.718424479166668
12000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_comma_2,kilobytes,30.718424479166668
12000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,kilobytes,12.5078125
12000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_comma_2,kilobytes,12.5078125
12000,Original Data,kilobytes,95.48795572916667
12000,TS Downsample - LTTBDownsampler,kilobytes,33.137369791666664
12000,TS Downsample - MinMaxLTTBDownsampler,kilobytes,12.5078125
20000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,kilobytes,30.718424479166668
20000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_comma_2,kilobytes,30.718424479166668
20000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,kilobytes,12.5078125
20000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_comma_2,kilobytes,12.5078125
20000,Original Data,kilobytes,157.98795572916666
20000,TS Downsample - LTTBDownsampler,kilobytes,33.137369791666664
20000,TS Downsample - MinMaxLTTBDownsampler,kilobytes,12.5078125
300000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,kilobytes,30.713997395833335
300000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_comma_2,kilobytes,30.726236979166668
300000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,kilobytes,12.5078125
300000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_comma_2,kilobytes,12.5078125
300000,Original Data,kilobytes,2345.4879557291665
300000,TS Downsample - LTTBDownsampler,kilobytes,33.149348958333334
300000,TS Downsample - MinMaxLTTBDownsampler,kilobytes,12.5078125
6000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,kilobytes,30.718424479166668
6000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_comma_2,kilobytes,30.718424479166668
6000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,kilobytes,12.5078125
6000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_comma_2,kilobytes,12.5078125
6000,Original Data,kilobytes,48.612955729166664
6000,TS Downsample - LTTBDownsampler,kilobytes,33.137369791666664
6000,TS Downsample - MinMaxLTTBDownsampler,kilobytes,12.5078125
70000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,kilobytes,30.721028645833332
70000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_comma_2,kilobytes,30.718424479166668
70000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,kilobytes,12.5078125
70000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_comma_2,kilobytes,12.5078125
70000,Original Data,kilobytes,548.6129557291666
70000,TS Downsample - LTTBDownsampler,kilobytes,33.137369791666664
70000,TS Downsample - MinMaxLTTBDownsampler,kilobytes,12.5078125
