n_size,option,measurement_unit,mean
100000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,kilobytes,0.004228649055585265
100000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,kilobytes,0.004210395459085703
100000,TS Downsample - LTTBDownsampler,kilobytes,0.00020515650200347106
100000,TS Downsample - MinMaxLTTBDownsampler,kilobytes,0.00020504252364238104
12000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,kilobytes,0.004197449889034033
12000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,kilobytes,0.0010911132674664259
12000,TS Downsample - LTTBDownsampler,kilobytes,0.00016577111867566903
12000,TS Downsample - MinMaxLTTBDownsampler,kilobytes,0.0001723760738968849
20000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,kilobytes,0.004136768185223142
20000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,kilobytes,0.001674690671886007
20000,TS Downsample - LTTBDownsampler,kilobytes,0.00016830043556789558
20000,TS Downsample - MinMaxLTTBDownsampler,kilobytes,0.00015708839831252893
300000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,kilobytes,0.004306977071488897
300000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,kilobytes,0.004319019118944804
300000,TS Downsample - LTTBDownsampler,kilobytes,0.00024621797104676564
300000,TS Downsample - MinMaxLTTBDownsampler,kilobytes,0.00025376550232370697
6000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,kilobytes,0.004174106443921725
6000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,kilobytes,0.0005966137473781903
6000,TS Downsample - LTTBDownsampler,kilobytes,0.00015702834352850913
6000,TS Downsample - MinMaxLTTBDownsampler,kilobytes,0.0001470791796843211
70000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,kilobytes,0.004213025203595558
70000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,kilobytes,0.004208001075312495
70000,TS Downsample - LTTBDownsampler,kilobytes,0.00018798233941197395
70000,TS Downsample - MinMaxLTTBDownsampler,kilobytes,0.00019517145119607449
