n_size,option,measurement_unit,mean
100000,Compressed Vector Downsample - dac_vector,kilobytes,6880.5068359375
100000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,6880.6435546875
100000,Original Data,kilobytes,671164.2666015625
100000,TS Downsample,kilobytes,6879.9248046875
12000,Compressed Vector Downsample - dac_vector,kilobytes,1745.9091796875
12000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,1746.08203125
12000,Original Data,kilobytes,80310.5166015625
12000,TS Downsample,kilobytes,1745.3544921875
20000,Compressed Vector Downsample - dac_vector,kilobytes,2810.5693359375
20000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,2810.1748046875
20000,Original Data,kilobytes,133821.3994140625
20000,TS Downsample,kilobytes,2810.1435546875
300000,Compressed Vector Downsample - dac_vector,kilobytes,6879.13671875
300000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,6877.6484375
300000,Original Data,kilobytes,2012128.8818359375
300000,TS Downsample,kilobytes,6877.9921875
6000,Compressed Vector Downsample - dac_vector,kilobytes,937.6884765625
6000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,938.3466796875
6000,Original Data,kilobytes,40229.6181640625
6000,TS Downsample,kilobytes,937.0927734375
70000,Compressed Vector Downsample - dac_vector,kilobytes,6878.814453125
70000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,6878.419921875
70000,Original Data,kilobytes,469789.216796875
70000,TS Downsample,kilobytes,6878.794921875
