n_size,option,measurement_unit,mean
100000,Compressed Vector - dac_vector,seconds,5.682655014190823
100000,Compressed Vector - vlc_vector_comma_2,seconds,5.587392837554217
100000,Compressed Vector - vlc_vector_elias_delta,seconds,5.108393062651158
100000,Compressed Vector - vlc_vector_elias_gamma,seconds,8.857409940334037
100000,Compressed Vector - vlc_vector_fibonacci,seconds,6.229698293283581
100000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.014810989936813712
100000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_comma_2,seconds,0.015754352044314145
100000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_elias_delta,seconds,0.016938690189272167
100000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_elias_gamma,seconds,0.01588277253322303
100000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_fibonacci,seconds,0.015458713006228208
100000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.01506506879813969
100000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_comma_2,seconds,0.015623554354533553
100000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_elias_delta,seconds,0.017040743911638855
100000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_elias_gamma,seconds,0.015475356811657548
100000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_fibonacci,seconds,0.015711882850155234
100000,Original Data,seconds,0.025609545549377798
100000,SDSL4Py - dac_vector,seconds,3.392127048689872
100000,SDSL4Py - vlc_vector_comma_2,seconds,3.3724898513406516
100000,SDSL4Py - vlc_vector_elias_delta,seconds,2.7911553917918352
100000,SDSL4Py - vlc_vector_elias_gamma,seconds,7.196609752718359
100000,SDSL4Py - vlc_vector_fibonacci,seconds,4.148805811814964
100000,TS Downsample - LTTBDownsampler,seconds,0.006520585250109434
100000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.006623122002929449
10000,Compressed Vector - dac_vector,seconds,0.11836551134474575
10000,Compressed Vector - vlc_vector_comma_2,seconds,0.1347605521325022
10000,Compressed Vector - vlc_vector_elias_delta,seconds,0.13200111887417734
10000,Compressed Vector - vlc_vector_elias_gamma,seconds,0.13612077268771827
10000,Compressed Vector - vlc_vector_fibonacci,seconds,0.1262461335863918
10000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.0149724792689085
10000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_comma_2,seconds,0.016098510287702084
10000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_elias_delta,seconds,0.016646571550518276
10000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_elias_gamma,seconds,0.015326006105169654
