n_size,option,measurement_unit,mean
100000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.011051456552619736
100000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_comma_2,seconds,0.011364898644387722
100000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.006659869058057666
100000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_comma_2,seconds,0.006862815438459317
100000,Original Data,seconds,0.02610266536163787
100000,TS Downsample - LTTBDownsampler,seconds,0.006556293508037925
100000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.006539557144666711
12000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.01003814850312968
12000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_comma_2,seconds,0.01051386441104114
12000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.00598721862770617
12000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_comma_2,seconds,0.005938192488004764
12000,Original Data,seconds,0.00810296464090546
12000,TS Downsample - LTTBDownsampler,seconds,0.005948290834203363
12000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.00597492759115994
20000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.010088776440049211
20000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_comma_2,seconds,0.010870665963739156
20000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.00612575844861567
20000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_comma_2,seconds,0.0060946546184519924
20000,Original Data,seconds,0.009554613490278523
20000,TS Downsample - LTTBDownsampler,seconds,0.006036417682965597
20000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.006131082819774747
300000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.011035480117425323
300000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_comma_2,seconds,0.01191364807697634
300000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.00709514405267934
300000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_comma_2,seconds,0.007148403969282905
300000,Original Data,seconds,0.07525460800776879
300000,TS Downsample - LTTBDownsampler,seconds,0.006903244104857246
300000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.00673812779908379
6000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.009936105366796255
6000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_comma_2,seconds,0.010471015858153502
6000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.0058188420409957566
6000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_comma_2,seconds,0.00591624613540868
6000,Original Data,seconds,0.006854730503012736
6000,TS Downsample - LTTBDownsampler,seconds,0.005819366313517094
6000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.005821372708305716
70000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector,seconds,0.010587794426828622
70000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_comma_2,seconds,0.01106249721099933
70000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector,seconds,0.006494060500214497
70000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - vlc_vector_comma_2,seconds,0.0069016134832054375
70000,Original Data,seconds,0.019875669184451304
70000,TS Downsample - LTTBDownsampler,seconds,0.006448488915339112
70000,TS Downsample - MinMaxLTTBDownsampler,seconds,0.006845245029156407
