n_size,option,measurement_unit,mean
100000,Compressed Vector Downsample - dac_vector,kilobytes,157.6513671875
100000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,157.6513671875
100000,Original Data,kilobytes,6448.1123046875
100000,TS Downsample,kilobytes,158.9033203125
12000,Compressed Vector Downsample - dac_vector,kilobytes,157.5888671875
12000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,157.5888671875
12000,Original Data,kilobytes,776.2373046875
12000,TS Downsample,kilobytes,157.4169921875
20000,Compressed Vector Downsample - dac_vector,kilobytes,157.5888671875
20000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,157.5888671875
20000,Original Data,kilobytes,1291.8623046875
20000,TS Downsample,kilobytes,157.4169921875
300000,Compressed Vector Downsample - dac_vector,kilobytes,158.609375
300000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,157.5966796875
300000,Original Data,kilobytes,19338.7373046875
300000,TS Downsample,kilobytes,157.4248046875
6000,Compressed Vector Downsample - dac_vector,kilobytes,157.6201171875
6000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,157.6201171875
6000,Original Data,kilobytes,389.5185546875
6000,TS Downsample,kilobytes,157.4482421875
70000,Compressed Vector Downsample - dac_vector,kilobytes,155.6123046875
70000,Compressed Vector Downsample - vlc_vector_fibonacci,kilobytes,157.5888671875
70000,Original Data,kilobytes,4514.5185546875
70000,TS Downsample,kilobytes,157.4169921875
